epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.88557,3.30694,7.77353,1.88944,0.00044,0.14286,0.00035,9e-05,2.71682,5.98182,1.82583,0.0003,0.0003,0.0003
2,7.34414,2.46967,4.82712,1.40961,0.00189,0.60714,0.00224,0.00059,1.90039,5.08763,1.19699,0.000607724,0.000607724,0.000607724
3,10.9535,2.29563,4.00819,1.27533,0.00178,0.57143,0.00183,0.00042,1.65774,4.94196,1.17578,0.000902776,0.000902776,0.000902776
4,14.5556,2.29212,4.0122,1.37565,0.00267,0.85714,0.00392,0.0022,1.64855,4.35027,1.13795,0.00118516,0.00118516,0.00118516
5,18.0214,2.15434,3.40185,1.30245,0.00233,0.75,0.52154,0.29947,1.62446,3.76449,1.13151,0.00145486,0.00145486,0.00145486
6,21.7349,2.04892,3.26467,1.32909,0.00244,0.78571,0.05374,0.02423,1.74645,3.87993,1.16435,0.0017119,0.0017119,0.0017119
7,25.2497,1.99438,3.02761,1.26094,0.72201,0.64286,0.59083,0.34959,1.54381,2.89987,1.13867,0.0017624,0.0017624,0.0017624
8,28.8428,1.883,2.88679,1.18156,0.88617,0.55654,0.77883,0.4007,1.54514,2.7457,1.09984,0.0017228,0.0017228,0.0017228
9,32.6132,1.93737,2.63557,1.27102,0.84819,0.53571,0.62454,0.34187,1.60826,2.61342,1.12929,0.0016832,0.0016832,0.0016832
10,36.4433,1.86227,2.31485,1.14589,0.81428,0.64286,0.69256,0.40197,1.62208,2.2784,1.1199,0.0016436,0.0016436,0.0016436
11,40.3249,1.93681,2.41368,1.19631,0.76858,0.75,0.76728,0.40119,1.69565,1.84172,1.08957,0.001604,0.001604,0.001604
12,43.8876,1.86964,2.1616,1.21496,0.81713,0.82143,0.78943,0.43692,1.58918,1.61474,1.07668,0.0015644,0.0015644,0.0015644
13,47.4754,1.8174,2.20609,1.14548,0.89937,0.75,0.82918,0.46641,1.6567,1.62172,1.13988,0.0015248,0.0015248,0.0015248
14,51.2404,1.82062,2.16062,1.15572,0.83215,0.75,0.85325,0.39109,1.77725,1.42678,1.09926,0.0014852,0.0014852,0.0014852
15,54.9357,1.77654,1.96118,1.18171,0.76289,0.82143,0.83774,0.35977,1.87784,1.45915,1.15205,0.0014456,0.0014456,0.0014456
16,58.5586,1.80315,2.09559,1.12222,0.75957,0.89286,0.82598,0.42078,1.66811,1.43497,1.13926,0.001406,0.001406,0.001406
17,62.2237,1.80405,1.79279,1.10553,0.84422,0.77449,0.84446,0.48535,1.44462,1.40129,1.02488,0.0013664,0.0013664,0.0013664
18,66.0015,1.78141,1.88838,1.16253,0.85663,0.75,0.79064,0.428,1.55154,1.6591,1.0504,0.0013268,0.0013268,0.0013268
19,69.6062,1.73246,1.76311,1.10562,0.87293,0.85714,0.8494,0.47384,1.45932,1.35421,1.0449,0.0012872,0.0012872,0.0012872
20,73.337,1.70325,1.72484,1.09414,0.86583,0.92204,0.85528,0.47853,1.42496,1.23058,1.05242,0.0012476,0.0012476,0.0012476
21,76.8667,1.61983,1.68548,1.10506,0.92169,0.8411,0.87028,0.52563,1.40428,1.32668,1.03263,0.001208,0.001208,0.001208
22,80.6582,1.68672,1.61567,1.07827,0.81289,0.89286,0.85556,0.5354,1.39825,1.20796,1.01895,0.0011684,0.0011684,0.0011684
23,84.5007,1.62301,1.48734,1.07182,0.89092,0.92857,0.90514,0.51895,1.52269,1.19035,1.03678,0.0011288,0.0011288,0.0011288
24,88.267,1.70732,1.5707,1.14849,0.88215,0.92857,0.91077,0.47316,1.66815,1.15826,1.05339,0.0010892,0.0010892,0.0010892
25,91.9905,1.6472,1.53438,1.07384,0.90249,0.99185,0.95208,0.57764,1.40002,1.08296,1.00523,0.0010496,0.0010496,0.0010496
26,95.6187,1.63299,1.50387,1.08673,0.86572,0.92124,0.9449,0.57752,1.32596,1.14322,1.0024,0.00101,0.00101,0.00101
27,99.4389,1.65437,1.4604,1.05115,0.86816,0.89286,0.92752,0.51309,1.53826,1.14178,1.07252,0.0009704,0.0009704,0.0009704
28,103.153,1.68206,1.38981,1.07098,0.73914,0.92857,0.90298,0.47075,1.56569,1.20046,1.04412,0.0009308,0.0009308,0.0009308
29,106.754,1.53008,1.28788,1.0237,0.80131,0.92857,0.88602,0.53139,1.43035,1.26668,1.0161,0.0008912,0.0008912,0.0008912
30,110.336,1.66618,1.37787,1.10196,0.84479,0.92857,0.92362,0.53526,1.45541,1.20679,1.02317,0.0008516,0.0008516,0.0008516
31,113.802,1.6967,1.40308,1.05161,0.87511,0.89286,0.91184,0.49495,1.46249,1.15618,1.02886,0.000812,0.000812,0.000812
32,117.451,1.50549,1.41638,1.01201,0.8915,0.89286,0.92356,0.53784,1.36285,1.14267,1.0164,0.0007724,0.0007724,0.0007724
33,120.908,1.5848,1.28443,1.08299,0.89397,1,0.94275,0.56008,1.28499,1.04644,0.98578,0.0007328,0.0007328,0.0007328
34,124.202,1.51082,1.24989,1.03597,0.92149,1,0.94122,0.61097,1.28679,1.00246,0.96903,0.0006932,0.0006932,0.0006932
35,127.902,1.61116,1.28696,1.05835,0.92504,1,0.94511,0.53046,1.49029,1.09474,0.99231,0.0006536,0.0006536,0.0006536
36,131.53,1.56426,1.28551,1.03205,0.93044,1,0.94535,0.58183,1.41715,1.04925,0.98334,0.000614,0.000614,0.000614
37,135.163,1.44929,1.14295,0.97901,0.93288,0.99295,0.94517,0.63398,1.3347,0.99958,0.9707,0.0005744,0.0005744,0.0005744
