epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3091,3.4087,7.68427,1.94761,0.00056,0.18182,0.00037,0.00011,2.86452,5.81923,1.84704,0.00024,0.00024,0.00024
2,5.93214,2.59883,5.14525,1.46384,0.00264,0.86364,0.00324,0.00095,1.82199,4.5052,1.26631,0.0004901,0.0004901,0.0004901
3,8.73429,2.18492,4.4106,1.31968,0.00236,0.77273,0.00306,0.0009,1.82012,4.67124,1.33029,0.000729904,0.000729904,0.000729904
4,11.5354,2.14796,4.11622,1.3006,0.00181,0.59091,0.00189,0.00082,1.56356,4.53227,1.1419,0.000959412,0.000959412,0.000959412
5,14.2869,2.19325,3.84319,1.31326,0.00236,0.77273,0.01115,0.00492,1.80104,4.20263,1.22626,0.00117862,0.00117862,0.00117862
6,17.0673,1.90161,3.05147,1.14852,0.00606,0.40909,0.00902,0.00351,1.78701,4.90911,1.20429,0.00138754,0.00138754,0.00138754
7,19.6676,2.1724,3.28664,1.30828,0.00208,0.68182,0.06872,0.02527,1.95908,4.21055,1.24805,0.00158616,0.00158616,0.00158616
8,22.4361,1.87836,2.92132,1.23881,0.79792,0.35937,0.49634,0.21959,1.89337,3.40854,1.2439,0.0017228,0.0017228,0.0017228
9,25.0907,1.93504,2.58449,1.16423,0.9272,0.57956,0.73712,0.33738,1.84194,2.59409,1.19316,0.0016832,0.0016832,0.0016832
10,27.8527,1.84764,2.44853,1.23117,0.839,0.71119,0.76449,0.40023,1.78769,2.37836,1.15436,0.0016436,0.0016436,0.0016436
11,30.6341,1.94624,2.42822,1.22065,0.55194,0.45455,0.54635,0.22693,2.03152,2.66054,1.22845,0.001604,0.001604,0.001604
12,33.4025,1.68446,2.24971,1.13758,0.71342,0.77273,0.78423,0.36867,1.68823,1.8528,1.20451,0.0015644,0.0015644,0.0015644
13,36.0006,1.86022,2.28932,1.19811,0.7598,0.90909,0.82456,0.38334,1.62792,1.74792,1.1355,0.0015248,0.0015248,0.0015248
14,38.5012,1.87557,2.35955,1.20106,0.67426,0.77273,0.66022,0.327,1.5578,1.69828,1.07251,0.0014852,0.0014852,0.0014852
15,41.2835,1.86374,2.26458,1.23154,0.8814,0.72727,0.78135,0.44971,1.51488,1.47197,1.04407,0.0014456,0.0014456,0.0014456
16,43.9229,1.83479,2.08402,1.1328,0.87225,0.68182,0.79567,0.44767,1.63606,1.47359,1.08305,0.001406,0.001406,0.001406
17,46.6218,1.8171,2.12803,1.16452,0.76936,0.75857,0.77625,0.39836,1.64133,1.38582,1.11047,0.0013664,0.0013664,0.0013664
18,49.3672,1.68241,1.90362,1.11116,0.79291,0.72727,0.7884,0.42479,1.57151,1.45645,1.09602,0.0013268,0.0013268,0.0013268
19,52.1009,1.73066,1.86915,1.12478,0.8058,0.86364,0.87355,0.52698,1.38066,1.33195,1.04145,0.0012872,0.0012872,0.0012872
20,54.9354,1.77522,1.73675,1.09507,0.8683,0.89942,0.87376,0.50842,1.46638,1.19143,1.03852,0.0012476,0.0012476,0.0012476
21,57.5679,1.61163,1.79085,1.0951,0.76054,0.86364,0.81812,0.44007,1.56771,1.29318,1.08768,0.001208,0.001208,0.001208
22,60.2086,1.60941,1.68504,1.1123,0.72303,0.95455,0.7788,0.36972,1.55886,1.35131,1.08353,0.0011684,0.0011684,0.0011684
23,62.916,1.6215,2.11541,1.15556,0.71667,0.95455,0.81469,0.44627,1.39586,1.24167,1.02554,0.0011288,0.0011288,0.0011288
24,65.5664,1.63717,1.6295,1.13969,0.76276,0.90909,0.83238,0.4661,1.36055,1.32538,1.02136,0.0010892,0.0010892,0.0010892
25,68.1999,1.6278,1.66412,1.05156,0.83625,0.95455,0.88595,0.51657,1.33743,1.21502,1.02526,0.0010496,0.0010496,0.0010496
26,70.8418,1.67788,1.49553,1.09192,0.87467,0.95176,0.8878,0.54659,1.3211,1.15068,1.02351,0.00101,0.00101,0.00101
27,73.4858,1.60686,1.47554,1.10725,0.8781,0.86364,0.89621,0.5124,1.46203,1.26495,1.04182,0.0009704,0.0009704,0.0009704
28,76.2999,1.72863,1.4729,1.11853,0.80044,0.95455,0.88965,0.55439,1.45742,1.15327,1.00489,0.0009308,0.0009308,0.0009308
29,79.0261,1.57409,1.5646,1.05752,0.86591,0.95455,0.89595,0.51126,1.50159,1.12069,1.00574,0.0008912,0.0008912,0.0008912
30,81.7334,1.71153,1.42374,1.16375,0.83898,1,0.8792,0.51681,1.40512,1.14297,1.01721,0.0008516,0.0008516,0.0008516
31,84.4183,1.61191,1.36903,1.0908,0.87463,0.95141,0.9125,0.55318,1.40651,1.05891,1.00452,0.000812,0.000812,0.000812
32,87.1846,1.49837,1.35436,1.03587,0.86328,0.95455,0.90848,0.53662,1.46732,1.03863,1.0251,0.0007724,0.0007724,0.0007724
33,89.7027,1.57606,1.40927,1.19136,0.89203,0.90909,0.91127,0.48051,1.70284,1.07374,1.09578,0.0007328,0.0007328,0.0007328
34,92.4351,1.46232,1.29619,1.02983,0.87679,0.90909,0.92192,0.50279,1.68967,1.05296,1.09421,0.0006932,0.0006932,0.0006932
35,95.4031,1.55748,1.32962,1.07769,0.91028,0.95455,0.9346,0.55739,1.49235,0.96716,1.02414,0.0006536,0.0006536,0.0006536
36,98.2552,1.52788,1.27177,1.05059,0.87387,0.95455,0.9336,0.5727,1.39545,0.97576,0.9961,0.000614,0.000614,0.000614
37,101.271,1.45284,1.259,1.04978,0.8729,0.95455,0.93777,0.57403,1.39247,1.00352,0.99823,0.0005744,0.0005744,0.0005744
38,103.988,1.46181,1.30825,1.04217,0.91242,0.94733,0.93962,0.58714,1.37369,1.04769,1.01636,0.0005348,0.0005348,0.0005348
39,106.717,1.49864,1.19853,1.04323,0.89562,0.90909,0.91426,0.56924,1.45219,1.09647,1.03348,0.0004952,0.0004952,0.0004952
40,109.294,1.35157,1.24418,1.01066,0.89961,0.90909,0.90677,0.54913,1.50331,1.10603,1.04764,0.0004556,0.0004556,0.0004556
41,111.849,1.38214,1.33581,1.0667,0.91241,0.94723,0.91468,0.53461,1.49902,1.06464,1.04356,0.000416,0.000416,0.000416
42,114.332,1.39504,1.32564,1.06166,0.91261,0.9496,0.90958,0.5326,1.45068,1.02739,1.02808,0.0003764,0.0003764,0.0003764
43,116.881,1.37424,1.33843,1.085,0.90568,0.95455,0.91947,0.56133,1.34957,0.9602,0.98044,0.0003368,0.0003368,0.0003368
44,119.552,1.2795,1.25115,1.04041,0.90527,0.95455,0.93194,0.59215,1.36651,0.94848,0.97838,0.0002972,0.0002972,0.0002972
45,121.965,1.39416,1.4134,1.08204,0.87484,0.95321,0.9201,0.58072,1.38554,0.96302,0.98586,0.0002576,0.0002576,0.0002576
46,124.323,1.2991,1.20538,1.07946,0.90154,0.90909,0.93288,0.53877,1.436,0.99892,0.99216,0.000218,0.000218,0.000218
47,126.749,1.37672,1.2749,1.02917,0.90042,0.90909,0.93297,0.55737,1.45695,1.02059,0.98706,0.0001784,0.0001784,0.0001784
48,129.266,1.32503,1.31345,1.03959,0.84448,0.98764,0.93206,0.57058,1.45384,1.0148,0.98433,0.0001388,0.0001388,0.0001388
49,131.899,1.27139,1.27441,1.0104,0.89809,0.90909,0.9305,0.57415,1.41468,0.9981,0.98171,9.92e-05,9.92e-05,9.92e-05
50,134.582,1.36406,1.25553,1.04295,0.8984,0.90909,0.9305,0.58888,1.40811,0.99324,0.97936,5.96e-05,5.96e-05,5.96e-05
