epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.97009,3.11106,7.45094,1.82549,0.00178,0.57143,0.0658,0.01326,2.68624,5.37925,1.63636,0.0003,0.0003,0.0003
2,7.66883,2.23835,4.5713,1.35016,0.00178,0.57143,0.00189,0.00043,1.93615,5.43738,1.36072,0.000607724,0.000607724,0.000607724
3,11.3754,2.30919,5.13387,1.43492,0.00056,0.17857,0.00036,8e-05,1.86183,5.74697,1.25705,0.000902776,0.000902776,0.000902776
4,15.1212,2.29594,4.02605,1.2694,0.00222,0.71429,0.00242,0.00067,2.01202,4.82135,1.21461,0.00118516,0.00118516,0.00118516
5,18.6764,2.30002,3.82925,1.29053,0.01005,0.57143,0.11999,0.06142,1.88682,3.98828,1.2614,0.00145486,0.00145486,0.00145486
6,22.3729,2.14453,3.49656,1.29398,0.00233,0.75,0.02272,0.01126,1.7078,3.92832,1.15446,0.0017119,0.0017119,0.0017119
7,25.9352,2.05741,3.19493,1.27186,0.10683,0.42857,0.08199,0.05104,1.65973,5.81431,1.14086,0.0017624,0.0017624,0.0017624
8,29.4982,1.97708,2.98409,1.18605,0.72217,0.64286,0.68669,0.37051,1.75408,2.45017,1.14615,0.0017228,0.0017228,0.0017228
9,33.1282,2.11844,2.90926,1.22321,0.33405,0.42857,0.25419,0.1389,1.74579,2.83819,1.14936,0.0016832,0.0016832,0.0016832
10,36.755,2.03601,2.86772,1.23052,0.87867,0.67857,0.74733,0.45512,1.54535,1.98217,1.08743,0.0016436,0.0016436,0.0016436
11,40.4716,1.9628,2.34984,1.17215,0.75846,0.67306,0.74705,0.38081,1.60945,1.91244,1.10435,0.001604,0.001604,0.001604
12,44.0179,1.89047,2.37072,1.16895,0.66168,0.82143,0.75982,0.41353,1.53406,1.79403,1.06898,0.0015644,0.0015644,0.0015644
13,47.5516,1.87617,2.36793,1.17156,0.8413,0.75754,0.78418,0.47549,1.46086,1.55953,1.03164,0.0015248,0.0015248,0.0015248
14,51.4056,1.77674,2.12243,1.14218,0.86175,0.66818,0.78892,0.44309,1.63953,1.71164,1.07557,0.0014852,0.0014852,0.0014852
15,55.2583,1.8206,2.19724,1.09701,0.92803,0.60714,0.82353,0.46053,1.60855,1.61687,1.05557,0.0014456,0.0014456,0.0014456
16,59.0184,1.74302,1.78247,1.0698,0.90387,0.71429,0.85444,0.55323,1.396,1.46053,1.01131,0.001406,0.001406,0.001406
17,62.9183,1.56424,2.17852,0.99553,0.89091,0.87529,0.88009,0.44812,1.63077,1.31748,1.05783,0.0013664,0.0013664,0.0013664
18,66.5577,1.70836,1.79794,1.09829,0.90954,0.89286,0.89998,0.49944,1.49728,1.26346,1.01472,0.0013268,0.0013268,0.0013268
19,70.2335,1.81281,1.80406,1.03681,0.91759,0.89286,0.94089,0.59371,1.36785,1.23541,1.00994,0.0012872,0.0012872,0.0012872
20,74.0187,1.71192,1.74081,1.12725,0.83822,0.92857,0.91804,0.50498,1.57301,1.14739,1.06075,0.0012476,0.0012476,0.0012476
21,77.6213,1.73289,1.58247,1.09101,0.81338,0.96429,0.90658,0.55908,1.35097,1.29094,1.01146,0.001208,0.001208,0.001208
22,81.303,1.64133,1.54227,1.08268,0.86629,0.92567,0.91454,0.57333,1.27804,1.248,0.98966,0.0011684,0.0011684,0.0011684
23,84.9279,1.66267,1.54741,1.13701,0.89214,0.85714,0.89779,0.5123,1.41339,1.34831,1.05325,0.0011288,0.0011288,0.0011288
24,88.4941,1.58678,1.41085,1.05267,0.84257,0.95593,0.89614,0.47792,1.45933,1.28379,1.04171,0.0010892,0.0010892,0.0010892
25,91.9345,1.66567,1.52267,1.0217,0.83536,0.96429,0.89774,0.48464,1.48089,1.26235,1.00886,0.0010496,0.0010496,0.0010496
26,95.5021,1.56041,1.35667,1.0406,0.86545,0.92857,0.90663,0.56212,1.39517,1.13713,1.00191,0.00101,0.00101,0.00101
27,99.2174,1.63088,1.49113,1.05588,0.82803,0.89286,0.86965,0.49716,1.43754,1.16282,1.02146,0.0009704,0.0009704,0.0009704
28,102.967,1.59656,1.39241,1.02744,0.8205,0.85714,0.85691,0.47218,1.48201,1.13677,1.04529,0.0009308,0.0009308,0.0009308
29,106.791,1.52061,1.36747,1.05546,0.89049,0.92857,0.90671,0.52004,1.44679,1.09673,1.03256,0.0008912,0.0008912,0.0008912
30,110.701,1.56668,1.34762,1.07537,0.87091,0.96378,0.90551,0.53054,1.35524,1.10788,1.01544,0.0008516,0.0008516,0.0008516
31,114.284,1.56816,1.27742,1.07902,0.87206,1,0.92518,0.52377,1.40317,1.14566,1.01076,0.000812,0.000812,0.000812
32,117.957,1.52804,1.26131,1.04626,0.89176,0.92857,0.91948,0.53498,1.45232,1.12484,1.01353,0.0007724,0.0007724,0.0007724
33,121.484,1.47006,1.31221,1.0664,0.89096,0.92857,0.91357,0.57036,1.36877,1.05933,0.99577,0.0007328,0.0007328,0.0007328
34,124.956,1.56018,1.26481,1.01077,0.89963,0.96048,0.90694,0.54507,1.39456,1.08294,1.00876,0.0006932,0.0006932,0.0006932
35,128.684,1.45864,1.18155,1.00451,0.89922,0.95625,0.90071,0.51544,1.45799,1.06214,1.0204,0.0006536,0.0006536,0.0006536
36,132.334,1.38282,1.27873,1.02944,0.92209,0.96429,0.94337,0.55033,1.46026,1.05465,1.00816,0.000614,0.000614,0.000614
37,136.133,1.52289,1.20434,1.02593,0.93038,0.95474,0.94576,0.56065,1.40684,1.03697,0.99248,0.0005744,0.0005744,0.0005744
38,139.851,1.39552,1.2038,1.02464,0.8961,0.96429,0.93359,0.5434,1.3877,1.01483,0.98741,0.0005348,0.0005348,0.0005348
39,143.467,1.45295,1.21567,0.98583,0.93088,0.96203,0.93043,0.50887,1.50881,1.04009,1.01481,0.0004952,0.0004952,0.0004952
40,147.088,1.46902,1.21582,1.0291,0.89374,0.96429,0.93064,0.52012,1.4958,1.01402,1.01201,0.0004556,0.0004556,0.0004556
41,150.652,1.51416,1.37878,1.02665,0.89643,0.96429,0.93744,0.54172,1.42632,0.99898,0.99569,0.000416,0.000416,0.000416
42,154.148,1.35733,1.27493,1.02261,0.89945,0.95855,0.93418,0.5204,1.42416,1.05282,0.9925,0.0003764,0.0003764,0.0003764
43,157.633,1.33244,1.23084,1.03939,0.86604,0.92374,0.91285,0.52339,1.49198,1.03001,1.00306,0.0003368,0.0003368,0.0003368
44,161.143,1.3614,1.1683,1.02711,0.86062,0.92857,0.873,0.51569,1.5035,1.00799,1.01123,0.0002972,0.0002972,0.0002972
45,164.647,1.34607,1.24674,1.03368,0.87258,0.97854,0.90225,0.53968,1.44511,0.96407,1.00323,0.0002576,0.0002576,0.0002576
46,168.087,1.30493,1.20873,1.01741,0.89102,1,0.92162,0.55349,1.40122,0.94497,0.99062,0.000218,0.000218,0.000218
47,171.618,1.35405,1.14893,1.02065,0.89117,1,0.92162,0.55887,1.36695,0.92977,0.98731,0.0001784,0.0001784,0.0001784
48,175.05,1.33709,1.11983,1.02477,0.87192,1,0.90469,0.54886,1.35697,0.91209,0.98431,0.0001388,0.0001388,0.0001388
49,178.372,1.39026,1.16811,1.05565,0.87187,1,0.90751,0.54866,1.35902,0.90082,0.98275,9.92e-05,9.92e-05,9.92e-05
50,181.866,1.25845,1.12067,0.99421,0.87052,1,0.91405,0.551,1.355,0.8861,0.98082,5.96e-05,5.96e-05,5.96e-05
