epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60605,3.47006,11.0398,1.92827,0,0,0,0,4.17923,7.48029,3.01801,0.0001,0.0001,0.0001
2,2.57815,3.63465,8.67253,1.93215,0,0,0,0,3.52217,6.48139,2.62585,0.000215644,0.000215644,0.000215644
3,3.58332,2.64312,7.15342,1.64245,0.00033,0.125,0.00021,2e-05,3.13422,6.12024,2.91388,0.000326536,0.000326536,0.000326536
4,4.60369,2.43186,4.35721,1.45571,0.001,0.375,0.00087,0.0002,2.70066,5.47326,2.01933,0.000432676,0.000432676,0.000432676
5,5.60394,2.1454,4.21348,1.28875,0.00233,0.875,0.00398,0.00106,1.69183,4.62421,1.23088,0.000534064,0.000534064,0.000534064
6,6.64896,2.36326,4.54745,1.2586,0.002,0.75,0.00322,0.00133,1.66654,4.70451,1.13894,0.0006307,0.0006307,0.0006307
7,7.67053,2.05675,3.3849,1.21433,0.00233,0.875,0.00365,0.00122,1.73017,4.43188,1.18872,0.000722584,0.000722584,0.000722584
8,8.66216,2.0882,3.74654,1.31239,0.00233,0.875,0.00396,0.00152,1.85911,4.52211,1.19462,0.000809716,0.000809716,0.000809716
9,9.62545,2.09323,3.45988,1.24317,0.00233,0.875,0.00386,0.0019,1.82131,4.34873,1.14617,0.000892096,0.000892096,0.000892096
10,10.664,2.0101,3.278,1.12528,0.00167,0.625,0.00231,0.00083,2.0637,4.74839,1.33384,0.000969724,0.000969724,0.000969724
11,11.6377,1.89751,3.55102,1.17976,0.002,0.75,0.00329,0.00107,3.24571,5.71011,1.95747,0.0010426,0.0010426,0.0010426
12,12.622,1.99894,3.00386,1.23771,0.00233,0.875,0.00391,0.00171,2.65858,5.23931,1.78713,0.00111072,0.00111072,0.00111072
13,13.5546,1.70421,3.17544,1.12969,0.00167,0.625,0.00236,0.00105,2.44124,5.25317,1.67587,0.0011741,0.0011741,0.0011741
14,14.573,1.79014,2.61434,0.9975,0.00233,0.875,0.00372,0.00168,1.89389,4.68026,1.33383,0.00123272,0.00123272,0.00123272
15,15.4769,2.29669,3.02288,1.47972,0.00233,0.875,0.00372,0.00168,1.89389,4.68026,1.33383,0.00128658,0.00128658,0.00128658
16,16.4986,1.86137,2.77705,1.12288,0.00233,0.875,0.13841,0.08297,1.67563,3.89328,1.15038,0.0013357,0.0013357,0.0013357
17,17.475,1.90155,2.69485,1.21829,1,0.33598,0.72848,0.37401,1.90583,3.18968,1.17739,0.0013664,0.0013664,0.0013664
18,18.4741,1.70379,2.7607,1.15962,0.35823,0.375,0.30413,0.16134,1.89074,3.1876,1.24391,0.0013268,0.0013268,0.0013268
19,19.4736,1.67555,3.01627,1.11958,0.35823,0.375,0.30413,0.16134,1.89074,3.1876,1.24391,0.0012872,0.0012872,0.0012872
20,20.406,1.76481,2.7429,1.09115,0.28659,0.125,0.37615,0.211,1.69996,3.03415,1.26064,0.0012476,0.0012476,0.0012476
21,21.4545,1.78388,2.53063,1.20733,0.85514,0.7395,0.72516,0.42887,1.65817,2.49485,1.18799,0.001208,0.001208,0.001208
