epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.90009,3.22182,7.5794,1.95544,0.00078,0.25,0.00058,0.00018,2.30172,5.8485,1.54902,0.0003,0.0003,0.0003
2,7.45621,2.53444,5.12571,1.48258,0.00133,0.42857,0.00151,0.0004,2.05751,5.43931,1.43101,0.000607724,0.000607724,0.000607724
3,11.184,2.52277,4.60083,1.36496,0.00011,0.03571,6e-05,4e-05,1.81587,5.22734,1.30954,0.000902776,0.000902776,0.000902776
4,14.9517,2.17065,3.94123,1.28402,0.00022,0.07143,0.00013,5e-05,1.91563,5.17542,1.32672,0.00118516,0.00118516,0.00118516
5,18.7484,2.12784,3.26635,1.28509,0.00189,0.60714,0.05237,0.02471,1.6481,4.43046,1.28109,0.00145486,0.00145486,0.00145486
6,22.318,2.01428,3.30975,1.28463,0.10474,0.21429,0.07059,0.04273,1.49688,3.43392,1.11698,0.0017119,0.0017119,0.0017119
7,25.9046,1.88191,3.35401,1.17847,0.84278,0.57449,0.7734,0.38594,1.597,2.91271,1.15465,0.0017624,0.0017624,0.0017624
8,29.449,1.9853,2.6706,1.23254,0.74167,0.61548,0.68867,0.36536,1.50075,2.43843,1.1003,0.0017228,0.0017228,0.0017228
9,33.0688,1.94464,2.61657,1.22502,0.72432,0.67857,0.67546,0.35505,1.69337,2.0234,1.13195,0.0016832,0.0016832,0.0016832
10,36.6849,1.90192,2.53798,1.14942,0.73944,0.70964,0.75856,0.43697,1.6268,1.80917,1.11883,0.0016436,0.0016436,0.0016436
11,40.2331,1.86526,2.37208,1.125,0.81944,0.75,0.76428,0.45292,1.55626,1.64252,1.12254,0.001604,0.001604,0.001604
12,43.931,1.86208,2.39697,1.18156,0.82927,0.52091,0.69898,0.38204,1.56855,2.21293,1.11171,0.0015644,0.0015644,0.0015644
13,47.648,1.6834,2.06475,1.12545,0.91893,0.82143,0.84612,0.47969,1.52731,1.38677,1.05626,0.0015248,0.0015248,0.0015248
14,51.1909,1.77654,2.02424,1.1747,0.81846,0.80541,0.83044,0.47691,1.49394,1.52688,1.04755,0.0014852,0.0014852,0.0014852
15,54.8816,1.80661,2.00107,1.21822,0.77698,0.82143,0.82802,0.48885,1.47654,1.38446,1.06341,0.0014456,0.0014456,0.0014456
16,58.7715,1.70106,1.83527,1.09572,0.78975,0.67857,0.78475,0.45443,1.41035,1.53208,1.03037,0.001406,0.001406,0.001406
17,62.4528,1.80884,1.84886,1.15263,0.78661,0.75,0.78138,0.46707,1.42947,1.54602,1.01016,0.0013664,0.0013664,0.0013664
18,65.995,1.79649,1.90225,1.11462,0.85151,0.75,0.76487,0.43255,1.38377,1.74523,1.03721,0.0013268,0.0013268,0.0013268
19,69.6157,1.6844,1.69523,1.08092,0.79555,0.75,0.75522,0.43133,1.48244,1.69537,1.06753,0.0012872,0.0012872,0.0012872
20,73.1647,1.60455,1.71987,1.0904,0.90282,0.85714,0.84779,0.47795,1.54319,1.29029,1.04834,0.0012476,0.0012476,0.0012476
21,76.9511,1.65723,1.56992,1.08532,0.88652,0.89286,0.88676,0.49462,1.45848,1.15707,1.0409,0.001208,0.001208,0.001208
22,80.5989,1.51557,1.63379,1.03826,0.88637,0.89286,0.85808,0.50528,1.41889,1.15712,1.02347,0.0011684,0.0011684,0.0011684
23,84.2566,1.70769,1.4821,1.02584,0.91095,0.89286,0.88018,0.51361,1.45546,1.17058,1.01657,0.0011288,0.0011288,0.0011288
